Property Number,Borough Code,Sign Name,,,,,,,,Category,Site Amenities,,,Sector Name,,Sector Desc.,,,Functional Acreage,Total Acreage,,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)",,"FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)",,"FY18 Q2
(Oct - Dec 2017)",,,"FY18 Q3
(Jan - Mar 2018)",,"FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)",,"FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)","FY18 Q1
(Jul - Sep 2017)","FY18 Q2
(Oct - Dec 2017)","FY18 Q3
(Jan - Mar 2018)","FY18 Q4
(Apr - Jun 2018)"
"X039 1, 2",X,Pelham Bay Park,,,,,,,,Large Park,"Athletic Facilities,Beaches, Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Bronx Sector 15.15A,,"Districts 15, 15A",,,"1,096.27","2,771.75",,"1,355",495,,416,910,19516.00,,6976.00,,,5991.00,,12960.00,,6.6,6.9,6.9,6.9,,Yes,Yes,Yes,Yes,25665.00,23842.00,26961.00,55286.00
"R065 3, 4",R,Richmond Parkway,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Staten Island Sector 2.2B,,"Districts 2, 2B",,,868.09,"1,884.95",,151,77,,56,154,2500.00,,1203.00,,,834.00,,2582.00,,6.6,7.0,6.8,7.0,,Yes,No,No,Yes,42089.00,23171.00,40915.00,26805.00
"X092 1, 2",X,Van Cortlandt Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Bronx Sector 13,,District 13,,,783.17,"1,146.43",,508,462,,467,446,7244.00,,6430.00,,,7147.00,,6644.00,,6.4,6.9,7.0,7.0,,Yes,Yes,Yes,Yes,34802.00,49119.00,46262.00,61934.00
"M010 1, 2,
5, 6",M,Central Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Manhattan Sector 13,,District 13,,,703.66,840.64,,61,54,,,,858.00,,716.00,,,,,,,3.5,3.0,,,,No,No,,,85164.00,127534.00,93191.00,119949.00
"Q099 1, 7",Q,Flushing Meadows Corona Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 15,,District 15,,,533.44,897.69,,"1,391","1,604",,"2,537","2,414",20362.00,,23768.00,,,36901.00,,34666.00,,6.6,7.0,7.0,7.0,,Yes,Yes,Yes,Yes,151834.00,122130.00,226068.00,107411.00
Q001 8,Q,Alley Pond Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 7A,,District 7A,,,523.43,665.49,,451,221,,126,390,7370.00,,3471.00,,,1871.00,,6450.00,,6.6,6.8,6.2,6.9,,Yes,Yes,Yes,Yes,23413.00,16923.00,28293.00,25033.00
"B073 1, 2,
9, 10",B,Prospect Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Brooklyn Sector 14.19,,"Districts 14, 19",,,420.22,540.51,,"1,195","1,199",,767,611,16242.00,,12726.00,,,8273.00,,6425.00,,6.6,7.0,7.0,7.0,,Yes,Yes,Yes,Yes,95910.00,158487.00,207705.00,143893.00
"Q015 1, 11",Q,Forest Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 5A.16,,"Districts 5A, 16",,,408.59,506.86,,"1,624","1,165",,932,677,25090.00,,17367.00,,,14504.00,,9213.00,,6.6,7.0,6.9,7.0,,Yes,Yes,Yes,Yes,58147.00,87003.00,62723.00,44576.00
"Q021 1, 12",Q,Cunningham Park,,,,,,,,Large Park,"Athletic Facilities,Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 8.9,,"Districts 8, 9",,,388.89,358.00,,172,86,,98,122,2821.00,,1393.00,,,1667.00,,1900.00,,6.6,6.5,6.7,6.8,,Yes,Yes,Yes,Yes,14789.00,10587.00,11808.00,21474.00
Q162 13,Q,Rockaway Beach and Boardwalk,,,,,,,,Large Park,"Athletic Facilities,Beaches, Comfort Stations,Natural Areas,Playgrounds,
Trails",,,Queens Sector 14,,District 14,,,349.49,"1,098.91",,454,461,,460,516,5528.00,,5626.00,,,5598.00,,6352.00,,6.1,5.1,5.0,5.5,,Yes,Yes,Yes,Yes,21876.00,29641.00,9414.00,40193.00
